target,perturbation,on_buscar_scores,off_buscar_scores,is_reference_distance,iteration
healthy_DMSO,healthy_drug_x,0.891971801457797,0.6415094339622641,false,25
healthy_DMSO,failing_DMSO,1.0,0.0,true,26
healthy_DMSO,healthy_drug_x,0.8890918952798623,0.7213114754098361,false,26
healthy_DMSO,healthy_TGFRi,0.6716008748502954,0.18032786885245902,false,26
healthy_DMSO,failing_TGFRi,0.9033210012456302,0.47540983606557374,false,26
healthy_DMSO,failing_drug_x,0.9263397931780311,0.6885245901639344,false,26
healthy_DMSO,healthy_drug_x,0.8952454529653392,0.6444444444444445,false,27
healthy_DMSO,failing_drug_x,0.9325832824642427,0.6222222222222222,false,27
healthy_DMSO,healthy_TGFRi,0.6815867237180316,0.17777777777777778,false,27
healthy_DMSO,failing_DMSO,1.0,0.0,true,27
healthy_DMSO,failing_TGFRi,0.908832031544411,0.4444444444444444,false,27
healthy_DMSO,failing_TGFRi,0.8961329111516048,0.42857142857142855,false,28
healthy_DMSO,failing_drug_x,0.9195203327308806,0.6071428571428571,false,28
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,28
healthy_DMSO,healthy_TGFRi,0.6683686936333162,0.19642857142857142,false,28
healthy_DMSO,healthy_drug_x,0.8825301537756255,0.6964285714285714,false,28
healthy_DMSO,healthy_TGFRi,0.6694645111749191,0.12727272727272726,false,29
healthy_DMSO,failing_TGFRi,0.8969729609999691,0.43636363636363634,false,29
healthy_DMSO,failing_drug_x,0.9221030255789181,0.6181818181818182,false,29
healthy_DMSO,failing_DMSO,1.0,0.0,true,29
healthy_DMSO,healthy_drug_x,0.8858104159942443,0.6181818181818182,false,29
healthy_DMSO,healthy_TGFRi,0.6804438897447055,0.18518518518518517,false,30
healthy_DMSO,failing_TGFRi,0.9086697768548492,0.4444444444444444,false,30
healthy_DMSO,failing_drug_x,0.9345095518757482,0.6111111111111112,false,30
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,30
healthy_DMSO,healthy_drug_x,0.8976348891077027,0.7037037037037037,false,30
healthy_DMSO,failing_TGFRi,0.90068305555615,0.4696969696969697,false,31
healthy_DMSO,healthy_TGFRi,0.6669207727194734,0.18181818181818182,false,31
healthy_DMSO,failing_drug_x,0.9238844574792422,0.6212121212121212,false,31
healthy_DMSO,healthy_drug_x,0.8882239437666346,0.6818181818181818,false,31
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,31
healthy_DMSO,failing_DMSO,1.0,0.0,true,32
healthy_DMSO,healthy_TGFRi,0.6763669123495789,0.13793103448275862,false,32
healthy_DMSO,failing_TGFRi,0.9069317284647568,0.5,false,32
healthy_DMSO,healthy_drug_x,0.8951266421824712,0.6379310344827587,false,32
healthy_DMSO,failing_drug_x,0.9326164939337068,0.5862068965517241,false,32
healthy_DMSO,healthy_TGFRi,0.6790291899369595,0.18867924528301888,false,33
healthy_DMSO,failing_drug_x,0.9326162629521045,0.5849056603773585,false,33
healthy_DMSO,failing_DMSO,1.0,0.0,true,33
healthy_DMSO,healthy_drug_x,0.8950676419833306,0.6792452830188679,false,33
healthy_DMSO,failing_TGFRi,0.908254724158798,0.39622641509433965,false,33
healthy_DMSO,healthy_drug_x,0.894554470588002,0.7547169811320755,false,34
healthy_DMSO,failing_TGFRi,0.907568367733111,0.49056603773584906,false,34
healthy_DMSO,healthy_TGFRi,0.6779550620498759,0.18867924528301888,false,34
healthy_DMSO,failing_drug_x,0.9310450892500326,0.6415094339622641,false,34
healthy_DMSO,failing_DMSO,0.9999999999999999,0.0,true,34
healthy_DMSO,failing_drug_x,0.9344049306690713,0.5660377358490566,false,35
healthy_DMSO,healthy_TGFRi,0.6813909624160868,0.18867924528301888,false,35
healthy_DMSO,failing_DMSO,1.0,0.0,true,35
healthy_DMSO,healthy_drug_x,0.8978259106937596,0.6792452830188679,false,35
healthy_DMSO,failing_TGFRi,0.9107960334720743,0.3584905660377358,false,35
healthy_DMSO,healthy_drug_x,0.8801574050649862,0.7090909090909091,false,36
healthy_DMSO,failing_DMSO,1.0,0.0,true,36
healthy_DMSO,failing_TGFRi,0.8937586171373082,0.4727272727272727,false,36
healthy_DMSO,failing_drug_x,0.9154454967761141,0.6363636363636364,false,36
healthy_DMSO,healthy_TGFRi,0.6679887362107305,0.2,false,36
healthy_DMSO,healthy_TGFRi,0.6714034668832431,0.20754716981132076,false,37
healthy_DMSO,failing_TGFRi,0.8970065615966554,0.4339622641509434,false,37
healthy_DMSO,failing_DMSO,1.0,0.0,true,37
healthy_DMSO,healthy_drug_x,0.8838322653983023,0.6792452830188679,false,37
healthy_DMSO,failing_drug_x,0.9202593828469342,0.5849056603773585,false,37
healthy_DMSO,failing_drug_x,0.9338334056480272,0.5961538461538461,false,38
