target,treatment,well,on_buscar_scores,off_buscar_scores,is_reference_distance,iteration
healthy_DMSO,healthy-TGFRi,E07,0.8688120499750694,0.0,false,8
healthy_DMSO,healthy-TGFRi,C10,0.7591270998285105,0.17647058823529413,false,8
healthy_DMSO,healthy-TGFRi,E04,0.913806128719981,0.0,false,8
healthy_DMSO,healthy-drug_x,E09,1.1362506695276575,0.35294117647058826,false,8
healthy_DMSO,healthy-drug_x,C09,0.9193262919179667,0.37254901960784315,false,8
healthy_DMSO,failing-TGFRi,B10,0.8586479145400155,0.23529411764705882,false,8
healthy_DMSO,failing-drug_x,B09,0.9720008195611577,0.4482758620689655,false,9
healthy_DMSO,healthy-drug_x,E09,1.1468519358398293,0.46551724137931033,false,9
healthy_DMSO,healthy-drug_x,C09,0.9261776563361835,0.39655172413793105,false,9
healthy_DMSO,healthy-TGFRi,C10,0.7654079628583267,0.1724137931034483,false,9
healthy_DMSO,failing-TGFRi,B07,0.9407143211114528,0.29310344827586204,false,9
healthy_DMSO,failing-TGFRi,D07,1.079413388576953,0.4482758620689655,false,9
healthy_DMSO,failing-drug_x,B03,0.9395573318627208,0.5517241379310345,false,9
healthy_DMSO,healthy-drug_x,E03,1.063952290081699,0.6724137931034483,false,9
healthy_DMSO,healthy-drug_x,E06,1.0736207668353743,0.6379310344827587,false,9
healthy_DMSO,,,1.0,0.0,true,9
healthy_DMSO,failing-drug_x,B06,0.9464625909443048,0.43103448275862066,false,9
healthy_DMSO,failing-drug_x,D06,0.9613488341298072,0.5,false,9
healthy_DMSO,failing-TGFRi,B04,0.8943797604272632,0.10344827586206896,false,9
healthy_DMSO,healthy-TGFRi,C07,0.769085419006216,0.20689655172413793,false,9
healthy_DMSO,failing-TGFRi,D10,0.9257498378324451,0.3275862068965517,false,9
healthy_DMSO,healthy-TGFRi,E07,0.876444658876282,0.0,false,9
healthy_DMSO,healthy-TGFRi,C04,0.7853075589150311,0.1896551724137931,false,9
healthy_DMSO,failing-TGFRi,D04,0.9453250230771113,0.39655172413793105,false,9
healthy_DMSO,healthy-drug_x,C03,0.9223766823621612,0.41379310344827586,false,9
healthy_DMSO,healthy-TGFRi,E04,0.9214163715536218,0.0,false,9
healthy_DMSO,failing-drug_x,D09,0.9925479159651557,0.6896551724137931,false,9
healthy_DMSO,healthy-drug_x,C06,0.9068486306613452,0.3448275862068966,false,9
healthy_DMSO,failing-TGFRi,B10,0.8667170855190705,0.3620689655172414,false,9
healthy_DMSO,failing-drug_x,D03,0.9571691357431088,0.5689655172413793,false,9
healthy_DMSO,healthy-TGFRi,E10,0.8113440365911766,0.3793103448275862,false,9
healthy_DMSO,healthy-TGFRi,C10,0.7703157184568474,0.1206896551724138,false,10
healthy_DMSO,healthy-drug_x,E06,1.0848310098829044,0.5517241379310345,false,10
healthy_DMSO,healthy-drug_x,E09,1.1601578990241015,0.3793103448275862,false,10
healthy_DMSO,,,1.0,0.0,true,10
healthy_DMSO,failing-TGFRi,B10,0.8721015160124608,0.25862068965517243,false,10
healthy_DMSO,healthy-TGFRi,C07,0.776084659399284,0.13793103448275862,false,10
healthy_DMSO,healthy-TGFRi,E04,0.9299551383969779,0.0,false,10
healthy_DMSO,healthy-drug_x,E03,1.0757893638595826,0.603448275862069,false,10
healthy_DMSO,failing-TGFRi,B04,0.9015835412998561,0.05172413793103448,false,10
healthy_DMSO,failing-drug_x,B03,0.9488107424870715,0.4482758620689655,false,10
healthy_DMSO,failing-TGFRi,D10,0.9320660898587192,0.25862068965517243,false,10
healthy_DMSO,failing-drug_x,D06,0.971634220986013,0.4827586206896552,false,10
healthy_DMSO,failing-TGFRi,D07,1.087772613438989,0.41379310344827586,false,10
healthy_DMSO,failing-drug_x,B06,0.9564695213705037,0.39655172413793105,false,10
healthy_DMSO,failing-drug_x,D09,1.0037642512031317,0.6379310344827587,false,10
healthy_DMSO,healthy-drug_x,C09,0.9354207592631111,0.3275862068965517,false,10
healthy_DMSO,healthy-drug_x,C06,0.9156861512477199,0.29310344827586204,false,10
healthy_DMSO,healthy-TGFRi,E10,0.8170642857651659,0.43103448275862066,false,10
healthy_DMSO,healthy-drug_x,C03,0.9317245084887125,0.3275862068965517,false,10
healthy_DMSO,failing-TGFRi,B07,0.947356715403192,0.25862068965517243,false,10
healthy_DMSO,failing-drug_x,B09,0.98202838393186,0.41379310344827586,false,10
healthy_DMSO,failing-drug_x,D03,0.9677526684885704,0.5172413793103449,false,10
healthy_DMSO,failing-TGFRi,D04,0.9520803202210435,0.3103448275862069,false,10
healthy_DMSO,healthy-TGFRi,C04,0.7920701516150516,0.10344827586206896,false,10
healthy_DMSO,healthy-TGFRi,E07,0.8842316324868718,0.0,false,10
healthy_DMSO,healthy-drug_x,C03,0.9240779210807992,0.35294117647058826,false,11
healthy_DMSO,failing-drug_x,B09,0.972815536850354,0.35294117647058826,false,11
healthy_DMSO,healthy-TGFRi,E04,0.9245423908103131,0.0,false,11
healthy_DMSO,failing-TGFRi,D04,0.9469668708177968,0.39215686274509803,false,11
healthy_DMSO,healthy-TGFRi,C07,0.7736886994078213,0.13725490196078433,false,11
healthy_DMSO,healthy-drug_x,E03,1.0645465547074497,0.6078431372549019,false,11
healthy_DMSO,failing-drug_x,D09,0.9938807845890182,0.6274509803921569,false,11
healthy_DMSO,healthy-TGFRi,E10,0.8125268308016774,0.45098039215686275,false,11
healthy_DMSO,failing-TGFRi,B04,0.8961070288012598,0.0392156862745098,false,11
healthy_DMSO,failing-drug_x,B06,0.9474850576943641,0.39215686274509803,false,11
healthy_DMSO,healthy-TGFRi,C04,0.7891240184309951,0.11764705882352941,false,11
healthy_DMSO,healthy-drug_x,E06,1.074985757598446,0.5294117647058824,false,11
healthy_DMSO,failing-drug_x,D06,0.9629663960468552,0.47058823529411764,false,11
healthy_DMSO,failing-TGFRi,B07,0.9442131885704957,0.29411764705882354,false,11
healthy_DMSO,healthy-TGFRi,C10,0.7671375031266497,0.19607843137254902,false,11
healthy_DMSO,failing-TGFRi,D07,1.0817277300805708,0.45098039215686275,false,11
healthy_DMSO,failing-drug_x,D03,0.9578948239088955,0.49019607843137253,false,11
healthy_DMSO,failing-drug_x,B03,0.9400633270657667,0.45098039215686275,false,11
healthy_DMSO,failing-TGFRi,B10,0.8695225659171488,0.29411764705882354,false,11
healthy_DMSO,healthy-drug_x,C06,0.9083752335587902,0.29411764705882354,false,11
healthy_DMSO,healthy-drug_x,C09,0.9282480616272418,0.3333333333333333,false,11
healthy_DMSO,,,0.9999999999999999,0.0,true,11
healthy_DMSO,healthy-drug_x,E09,1.1478619263981271,0.39215686274509803,false,11
healthy_DMSO,failing-TGFRi,D10,0.9276666269054318,0.2549019607843137,false,11
healthy_DMSO,healthy-TGFRi,E07,0.8788986147061109,0.0,false,11
healthy_DMSO,,,1.0,0.0,true,12
healthy_DMSO,failing-drug_x,D06,0.9837034120247137,0.46296296296296297,false,12
healthy_DMSO,failing-drug_x,B06,0.9678110778125305,0.3888888888888889,false,12
healthy_DMSO,failing-drug_x,D09,1.0163669408102016,0.6111111111111112,false,12
healthy_DMSO,healthy-TGFRi,C10,0.7807006583457959,0.09259259259259259,false,12
healthy_DMSO,healthy-TGFRi,E07,0.8943258925592241,0.0,false,12
healthy_DMSO,failing-drug_x,B03,0.9593424686903972,0.46296296296296297,false,12
healthy_DMSO,healthy-TGFRi,E10,0.8274425056143017,0.4074074074074074,false,12
healthy_DMSO,healthy-drug_x,C09,0.9456312728884098,0.3888888888888889,false,12
healthy_DMSO,failing-drug_x,B09,0.9936069995037754,0.35185185185185186,false,12
healthy_DMSO,healthy-TGFRi,E04,0.9411709399259186,0.0,false,12
healthy_DMSO,healthy-TGFRi,C07,0.7873539723419082,0.09259259259259259,false,12
healthy_DMSO,healthy-TGFRi,C04,0.8038098717413181,0.09259259259259259,false,12
healthy_DMSO,healthy-drug_x,E09,1.1713562669551278,0.37037037037037035,false,12
healthy_DMSO,healthy-drug_x,C03,0.9420374737905991,0.35185185185185186,false,12
healthy_DMSO,failing-TGFRi,B10,0.8836137349966181,0.24074074074074073,false,12
healthy_DMSO,healthy-drug_x,E06,1.0966280298761102,0.5740740740740741,false,12
healthy_DMSO,failing-TGFRi,B04,0.9126216888261737,0.05555555555555555,false,12
healthy_DMSO,healthy-drug_x,C06,0.9258614353862471,0.24074074074074073,false,12
healthy_DMSO,failing-drug_x,D03,0.9787810284859437,0.5,false,12
healthy_DMSO,failing-TGFRi,B07,0.9604111571923454,0.3148148148148148,false,12
healthy_DMSO,failing-TGFRi,D04,0.9628615232458975,0.3888888888888889,false,12
healthy_DMSO,healthy-drug_x,E03,1.0869491307368357,0.5925925925925926,false,12
healthy_DMSO,failing-TGFRi,D07,1.0997905070965865,0.42592592592592593,false,12
healthy_DMSO,failing-TGFRi,D10,0.9434071536021774,0.25925925925925924,false,12
healthy_DMSO,failing-drug_x,D09,0.998425111441537,0.5882352941176471,false,13
healthy_DMSO,healthy-TGFRi,C07,0.7756512975289392,0.11764705882352941,false,13
healthy_DMSO,healthy-TGFRi,E10,0.8141422041480879,0.47058823529411764,false,13
healthy_DMSO,healthy-drug_x,C09,0.9304238193441016,0.3333333333333333,false,13
healthy_DMSO,failing-drug_x,B09,0.9780453651338487,0.35294117647058826,false,13
healthy_DMSO,healthy-TGFRi,C04,0.7909281971200155,0.09803921568627451,false,13
healthy_DMSO,failing-drug_x,B06,0.9522757591022865,0.37254901960784315,false,13
healthy_DMSO,healthy-drug_x,E06,1.0783602604318931,0.5686274509803921,false,13
healthy_DMSO,failing-TGFRi,D04,0.9491340136269897,0.39215686274509803,false,13
healthy_DMSO,failing-drug_x,B03,0.9441377797980777,0.45098039215686275,false,13
healthy_DMSO,failing-TGFRi,B04,0.8986033017747512,0.0196078431372549,false,13
