feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Cytoplasm_Granularity_1_ER,0.000014111426491711148,0.0704533424703419,0.000017042660303408502,4.7684626123326845,on,Cytoplasm,ER
Cytoplasm_Granularity_1_Hoechst,3.5723631841172395e-44,0.20485054864441313,8.725065471988946e-44,43.059231305455675,on,Cytoplasm,Hoechst
Cytoplasm_Granularity_1_Mitochondria,2.5331241039159167e-15,0.11980766532954736,3.8435624394290004e-15,14.41526605933799,on,Cytoplasm,Mitochondria
Cytoplasm_Granularity_1_PM,1.2110577196275654e-11,0.10398034135492944,1.7184987511777765e-11,10.764850779125705,on,Cytoplasm,PM
Cytoplasm_Granularity_2_Actin,1.6040957193563326e-35,0.18361556164369539,3.3996480245713243e-35,34.46856604439869,on,Cytoplasm,Actin
Cytoplasm_Intensity_IntegratedIntensityEdge_Hoechst,4.671538076469212e-44,0.20457925371178975,1.1325463159558202e-43,42.94594402829726,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_IntegratedIntensity_Actin,4.25e-322,0.8852031328806099,2.538e-320,319.59550577739145,on,Cytoplasm,Actin
Cytoplasm_Intensity_IntegratedIntensity_Hoechst,4.536206614815274e-52,0.22241385626071444,1.21149908371286e-51,50.91667690999415,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_IntegratedIntensity_Mitochondria,3.5011219607963293e-305,0.5267566226916136,6.970415540130874e-304,303.1567413307389,on,Cytoplasm,Mitochondria
Cytoplasm_Intensity_LowerQuartileIntensity_Actin,1.6e-322,0.9198581812138177,2.272e-320,319.64355193354174,on,Cytoplasm,Actin
Cytoplasm_Intensity_LowerQuartileIntensity_ER,3.107403303818361e-109,0.3211017069666011,1.5584457790905827e-108,107.8073083029485,on,Cytoplasm,ER
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,4.763e-321,0.6072587550601863,1.46965e-319,318.8327867695125,on,Cytoplasm,Mitochondria
Cytoplasm_Intensity_LowerQuartileIntensity_PM,1.1982243020141319e-107,0.3187988192911812,5.874875868830482e-107,106.2310013052352,on,Cytoplasm,PM
Cytoplasm_Intensity_MADIntensity_ER,1.3677943184320415e-146,0.3707972279928382,1.0449312409416875e-145,144.98091228626302,on,Cytoplasm,ER
