feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Nuclei_RadialDistribution_MeanFrac_PM_3of4,0.7655996044779102,0.019185158631553807,0.9959731764549559,0.001752357835805311,off,Nuclei,PM
Nuclei_RadialDistribution_MeanFrac_PM_4of4,0.14182787795322996,0.033205076094549486,0.8883754876337983,0.051403433163013004,off,Nuclei,PM
Nuclei_RadialDistribution_RadialCV_Actin_1of4,0.7147341770522101,0.020087902117556126,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_RadialCV_Actin_2of4,0.966104673504689,0.014248982524031437,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_RadialCV_Actin_3of4,0.5088762885118387,0.02368567922669427,0.9600511456520627,0.01770562979086218,off,Nuclei,Actin
Nuclei_RadialDistribution_RadialCV_Actin_4of4,0.8890138747094788,0.0166829587591712,0.9959731764549559,0.001752357835805311,off,Nuclei,Actin
Nuclei_RadialDistribution_RadialCV_ER_1of4,0.3543061431846914,0.026782296533999286,0.938187436190415,0.02771038723804946,off,Nuclei,ER
Nuclei_RadialDistribution_RadialCV_ER_2of4,0.11218295489994196,0.03465264890868574,0.8883754876337983,0.051403433163013004,off,Nuclei,ER
Nuclei_RadialDistribution_RadialCV_ER_3of4,0.7728282770838465,0.019053590186929568,0.9959731764549559,0.001752357835805311,off,Nuclei,ER
Nuclei_RadialDistribution_RadialCV_ER_4of4,0.9722152270713292,0.01394201614684734,0.9959731764549559,0.001752357835805311,off,Nuclei,ER
Nuclei_RadialDistribution_RadialCV_Hoechst_1of4,0.5867589262925401,0.022298571910512984,0.9691817037185736,0.013594793099393864,off,Nuclei,Hoechst
Nuclei_RadialDistribution_RadialCV_Hoechst_2of4,0.1313477411949811,0.03368592076876282,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_RadialDistribution_RadialCV_Hoechst_3of4,0.07961376900643256,0.03666664587165414,0.8883754876337983,0.051403433163013004,off,Nuclei,Hoechst
Nuclei_RadialDistribution_RadialCV_Hoechst_4of4,0.6164699592218075,0.021783495446452122,0.9712728134501858,0.012658767275538683,off,Nuclei,Hoechst
Nuclei_RadialDistribution_RadialCV_Mitochondria_1of4,0.48985016238304624,0.024036795015083583,0.9600511456520627,0.01770562979086218,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_RadialCV_Mitochondria_2of4,0.16977246520164277,0.032049913148830385,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_RadialCV_Mitochondria_3of4,0.039939672123587955,0.040414786917505705,0.8883754876337983,0.051403433163013004,off,Nuclei,Mitochondria
Nuclei_RadialDistribution_RadialCV_Mitochondria_4of4,0.3538781500080526,0.026791894232087377,0.938187436190415,0.02771038723804946,off,Nuclei,Mitochondria
